,split_number,it_1,it_2,it_3,it_4,it_5,it_6,it_7,it_8,it_9,it_10,it_11,it_12,it_13,it_14,it_15,it_16,it_17,it_18,it_19,it_20,it_21,it_22,it_23,it_24,it_25,it_26,it_27,it_28,it_29,it_30
0,200,0.8896,0.889605157131,0.835106382979,0.890487609912,0.875768757688,0.844600526778,0.885285772193,0.888074888075,0.882987551867,0.882059800664,0.885928393006,0.891497975709,0.891170431211,0.895161290323,0.88003253355,0.894715931665,0.884166666667,0.884646628757,0.896831844029,0.880579010856,0.885714285714,0.888333333333,0.87619047619,0.873810508895,0.840490797546,0.883740173769,0.884647302905,0.885514977431,0.900398406375,0.882978723404
1,400,0.899022801303,0.899231080534,0.895790764201,0.899312575819,0.886382623225,0.87094017094,0.895076674738,0.891615541922,0.896915584416,0.877987421384,0.892561983471,0.890087100788,0.893338782182,0.899067693555,0.896776825785,0.89113719142,0.899135446686,0.896495517522,0.903411426223,0.894586894587,0.898125509372,0.888705688376,0.886242299795,0.888706365503,0.891456871647,0.890804597701,0.889254837382,0.898621248986,0.895339329518,0.898347107438
2,600,0.906224737268,0.897310513447,0.898193760263,0.89674796748,0.882055602359,0.884792626728,0.89821354383,0.89871847871,0.902518277823,0.884342379958,0.895986895987,0.89824274622,0.899755501222,0.902857142857,0.901234567901,0.898831116485,0.902852418355,0.899795501022,0.902218570255,0.889714993804,0.902106567534,0.898076135898,0.891656288917,0.894865525672,0.898645876077,0.893951946976,0.891903000411,0.885408079143,0.888706365503,0.896206752814
3,800,0.902182700081,0.900329489292,0.903703703704,0.89983713355,0.883584589615,0.893139293139,0.899339933993,0.900900900901,0.90406504065,0.878434637802,0.898208469055,0.901912901913,0.898456539399,0.901880621423,0.899545266639,0.902291917973,0.906842539159,0.894605809129,0.9079001228,0.895127993394,0.903119868637,0.904333605887,0.895214521452,0.895986895987,0.897488678469,0.894627238651,0.896721311475,0.888524590164,0.894175553733,0.903359601825
4,1000,0.90081300813,0.90086384204,0.903385631709,0.900489396411,0.890284757119,0.89497716895,0.902268041237,0.898228265348,0.909090909091,0.884985361773,0.902749281904,0.904276985743,0.899383983573,0.902200488998,0.899128268991,0.903799514956,0.906109061091,0.897404202719,0.907309105757,0.902988129349,0.904840032814,0.905920519059,0.902880658436,0.897112647418,0.903594771242,0.89721181856,0.896072013093,0.894455852156,0.901767365393,0.902317880795
5,1200,0.901179341196,0.900744416873,0.907005325686,0.904489795918,0.900166389351,0.891656288917,0.901863354037,0.895867768595,0.911310008137,0.89048020219,0.904781364937,0.907090464548,0.899877400899,0.906059373729,0.90197693575,0.907258064516,0.905410987195,0.901686548745,0.907905460473,0.90036900369,0.910052910053,0.906199021207,0.902218570255,0.902936378467,0.906948394961,0.892527287993,0.897173289635,0.90237899918,0.900205338809,0.902559867878
6,1400,0.906185989349,0.902720527617,0.906852687731,0.906786590352,0.89971110194,0.896723351307,0.89971110194,0.899545266639,0.90916496945,0.892140468227,0.902428983121,0.906059373729,0.899301274147,0.90522875817,0.903838217086,0.90799031477,0.902559867878,0.903569963069,0.911237785016,0.906633906634,0.909165302782,0.907317073171,0.903040262942,0.904042466313,0.907460252752,0.895460224906,0.905521472393,0.900536524969,0.897858319605,0.901896125309
7,1600,0.90446904469,0.901686548745,0.907081457225,0.907301066448,0.903569963069,0.901244813278,0.900165016502,0.899751449876,0.910575745202,0.892589508743,0.902618657938,0.900900900901,0.900908340215,0.903569963069,0.907369287773,0.90487804878,0.903838217086,0.900247320692,0.908720456398,0.903331962155,0.908271908272,0.903752039152,0.906929069291,0.903225806452,0.907317073171,0.899295482801,0.901477832512,0.905954825462,0.895151263987,0.90197693575
8,1800,0.903119868637,0.901944559371,0.909983633388,0.907301066448,0.908350305499,0.899044453677,0.908421913328,0.902479338843,0.904019688269,0.895261845387,0.898479243732,0.898977505112,0.902268041237,0.905582922824,0.902640264026,0.908869987849,0.908343608714,0.902749281904,0.905598692276,0.908718788375,0.909016393443,0.9,0.904019688269,0.904489795918,0.91012145749,0.898263027295,0.900900900901,0.905770029058,0.896013152487,0.900826446281
9,2000,0.903727980336,0.905722519555,0.910502656314,0.909463334699,0.907005325686,0.902957101208,0.906710310966,0.902398676592,0.905814905815,0.895174708819,0.904761904762,0.90248878009,0.905254447662,0.908196721311,0.908271908272,0.906059373729,0.912581699346,0.905814905815,0.90282902829,0.907749077491,0.907975460123,0.905691056911,0.89757301522,0.90589198036,0.911525974026,0.899917287014,0.903806794924,0.902985074627,0.895473251029,0.902025630426
10,2200,0.90446904469,0.904369332234,0.907460252752,0.909611451943,0.905289052891,0.907438016529,0.910356119525,0.908494050062,0.906557377049,0.900332225914,0.905055487053,0.902589395808,0.906468891636,0.905968928863,0.90737704918,0.903752039152,0.910801963993,0.905968928863,0.903569963069,0.904703476483,0.908204711617,0.906059373729,0.902218570255,0.906862745098,0.908869987849,0.906852687731,0.904098360656,0.901373283396,0.897741273101,0.903519668737
11,2400,0.905151267375,0.907679738562,0.911680911681,0.910575745202,0.908045977011,0.90253007051,0.912494912495,0.906852687731,0.908569085691,0.900414937759,0.908494050062,0.903199343724,0.906172839506,0.905366653011,0.912423625255,0.904703476483,0.912954638333,0.904290429043,0.905598692276,0.90626279165,0.911003236246,0.910423452769,0.902988129349,0.91072156543,0.910044372731,0.906172839506,0.906480721903,0.901863354037,0.905752753978,0.903305785124
12,2600,0.908868999186,0.907818930041,0.910866910867,0.908346972177,0.907824662024,0.902317880795,0.908643998361,0.909762100082,0.905660377358,0.903225806452,0.910126067507,0.904176904177,0.908718788375,0.910135412392,0.906710310966,0.908573750508,0.911908646003,0.902138157895,0.908200734394,0.911102007374,0.908350305499,0.911237785016,0.902249488753,0.910350448248,0.916431166734,0.907224958949,0.903885480573,0.908045977011,0.905073649755,0.905940594059
13,2800,0.912252325111,0.910956093558,0.912209064924,0.907528641571,0.904390644235,0.90458488228,0.908346972177,0.915584415584,0.904526748971,0.902236951118,0.909756097561,0.906720977597,0.907452907453,0.910135412392,0.908125765619,0.908868999186,0.916024340771,0.905133470226,0.909836065574,0.910435497124,0.909609120521,0.906275468623,0.90990623726,0.912937347437,0.913800080939,0.910350448248,0.906842539159,0.902960526316,0.906710310966,0.905366653011
14,3000,0.911003236246,0.912669126691,0.915309446254,0.908271908272,0.904333605887,0.905271828666,0.90894242548,0.913912688698,0.909836065574,0.903065451533,0.90990623726,0.905366653011,0.909387755102,0.910282671036,0.913025724786,0.912691996766,0.917475728155,0.906776180698,0.910502656314,0.910288065844,0.905675786035,0.907905460473,0.909463334699,0.906786590352,0.912323232323,0.902669404517,0.901815181518,0.9052113254,0.907157464213,0.907081457225
15,3200,0.909311740891,0.908643998361,0.918126272912,0.907975460123,0.9052113254,0.907965332233,0.905660377358,0.912137310993,0.915447154472,0.905862923204,0.913842384647,0.909832721338,0.910429447853,0.910429447853,0.913238289206,0.912408759124,0.919642857143,0.908566721582,0.906468891636,0.912223133716,0.913680781759,0.906720977597,0.911824461601,0.907309105757,0.911084043849,0.90931372549,0.909016393443,0.907224958949,0.910350448248,0.905660377358
16,3400,0.906515580737,0.910794297352,0.915956151035,0.90626279165,0.907597535934,0.906480721903,0.909983633388,0.913469387755,0.914634146341,0.903599503517,0.916192026037,0.909609120521,0.912195121951,0.908868999186,0.914564686737,0.91460946985,0.916564916565,0.907148726376,0.913185913186,0.910801963993,0.913149350649,0.912653061224,0.91064871481,0.912566083774,0.913570274637,0.906480721903,0.911102007374,0.908643998361,0.910356119525,0.906929069291
17,3600,0.913520097442,0.912883435583,0.91072156543,0.905521472393,0.903838217086,0.902640264026,0.913680781759,0.913327882257,0.911993450675,0.906004140787,0.915309446254,0.909090909091,0.910350448248,0.909832721338,0.916666666667,0.915048543689,0.918259455063,0.90953745395,0.912812116251,0.913025724786,0.910130718954,0.91389114541,0.90916496945,0.910199106054,0.91447101743,0.897942386831,0.906545903664,0.903758777365,0.910569105691,0.910204081633
18,3800,0.911729141475,0.912280701754,0.911608961303,0.908421913328,0.911392405063,0.903331962155,0.912280701754,0.908868001635,0.909836065574,0.905271828666,0.914215686275,0.912195121951,0.90589198036,0.905383360522,0.91447101743,0.912266450041,0.915750915751,0.907597535934,0.913630781826,0.912280701754,0.912137310993,0.911525974026,0.906339468303,0.911300121507,0.917780477926,0.911680911681,0.907063197026,0.91169255928,0.910939406263,0.911464708282
19,4000,0.91203891366,0.9169031212,0.915240423798,0.901767365393,0.909090909091,0.902298850575,0.911392405063,0.913238289206,0.911608961303,0.910061601643,0.915102040816,0.910939406263,0.906786590352,0.907528641571,0.916463909165,0.918006430868,0.915212981744,0.906032006565,0.912740680049,0.915642915643,0.909239574816,0.914262494921,0.90693877551,0.911980440098,0.916801292407,0.90894242548,0.907216494845,0.911980440098,0.911980440098,0.910130718954
20,4200,0.913219789132,0.912708079578,0.917675544794,0.905271828666,0.910429447853,0.903436988543,0.913025724786,0.916260162602,0.913680781759,0.911029110291,0.916769167692,0.911382113821,0.912352221769,0.907233346955,0.916363636364,0.917238595075,0.911740890688,0.906929069291,0.911547911548,0.91339869281,0.907157464213,0.913008130081,0.911454102356,0.911310008137,0.91817815397,0.908496732026,0.911184210526,0.907301066448,0.910575745202,0.914262494921
21,4400,0.915857605178,0.91447101743,0.916666666667,0.912653061224,0.909756097561,0.909461663948,0.911020408163,0.915117219078,0.912195121951,0.904154668861,0.917992656059,0.907014681892,0.911752745018,0.914772727273,0.912110166059,0.917675544794,0.912937347437,0.906492445896,0.911092985318,0.913379422529,0.911515151515,0.910057236304,0.910858995138,0.914239482201,0.912137310993,0.916123778502,0.909765142151,0.913008130081,0.911011783828,0.910204081633
22,4600,0.916431166734,0.911092985318,0.916228247673,0.906710310966,0.90656874745,0.905675786035,0.908793456033,0.913025724786,0.913469387755,0.911102007374,0.915309446254,0.908794788274,0.915652879157,0.91551584078,0.913219789132,0.91757137113,0.910569105691,0.908571428571,0.911908646003,0.915117219078,0.91389114541,0.913520097442,0.910052910053,0.913660316173,0.913939393939,0.909387755102,0.907742998353,0.915682281059,0.906275468623,0.912937347437
23,4800,0.916431166734,0.911525974026,0.916092419943,0.901896125309,0.916192026037,0.904075751338,0.915378356387,0.918350848828,0.91389114541,0.91072156543,0.915949159492,0.908275580921,0.911310008137,0.911092985318,0.912266450041,0.921221864952,0.916260162602,0.9079001228,0.913701431493,0.916632777552,0.909461663948,0.915887850467,0.913590263692,0.916431166734,0.915623738393,0.915918367347,0.906327033689,0.909461663948,0.907384740922,0.910350448248
24,5000,0.917475728155,0.911752745018,0.913219789132,0.90612244898,0.914262494921,0.907535641548,0.918152350081,0.919530934088,0.916024340771,0.913327882257,0.916360669115,0.914703493095,0.911824461601,0.908200734394,0.914170040486,0.91460946985,0.916024340771,0.910350448248,0.916055419723,0.916870415648,0.907023954527,0.916360669115,0.913912688698,0.913308913309,0.917780477926,0.917647058824,0.90879211175,0.914589293012,0.909609120521,0.913449817148
25,5200,0.913590263692,0.906557377049,0.915613534448,0.914262494921,0.90841889117,0.906095551895,0.920647773279,0.915857605178,0.917952883834,0.908271908272,0.913982878108,0.910126067507,0.918152350081,0.913308913309,0.912479740681,0.91492776886,0.913520097442,0.90953745395,0.913751017087,0.91785860237,0.911824461601,0.917140536149,0.915652879157,0.910786699108,0.919093851133,0.91913856156,0.908941755537,0.913096695226,0.911382113821,0.90931372549
26,5400,0.915759774285,0.913961038961,0.917647058824,0.91203891366,0.913379422529,0.906557377049,0.919967663703,0.913149350649,0.914355628059,0.91785860237,0.918059518956,0.909682668836,0.917713822456,0.91339869281,0.913379422529,0.910569105691,0.912937347437,0.913360323887,0.915032679739,0.916666666667,0.91012145749,0.917416189697,0.916666666667,0.91606133979,0.914332115307,0.916396103896,0.915780866721,0.912209064924,0.914192761285,0.911020408163
27,5600,0.915857605178,0.912795436023,0.909983633388,0.909016727866,0.907384740922,0.910801963993,0.92114840275,0.921084581141,0.916260162602,0.912900575185,0.910874897792,0.913520097442,0.91935483871,0.912352221769,0.915447154472,0.919028340081,0.913238289206,0.911980440098,0.914772727273,0.916055419723,0.915309446254,0.92114840275,0.91384863124,0.915350344269,0.910641754671,0.919595959596,0.917244190787,0.915544675643,0.911824461601,0.916092419943
28,5800,0.914703493095,0.917475728155,0.916938110749,0.914100486224,0.907528641571,0.915447154472,0.920289855072,0.919708029197,0.9167681689,0.915642915643,0.921640276086,0.913290113452,0.911165444173,0.912724306688,0.912123677787,0.918590522479,0.915887850467,0.913800080939,0.912724306688,0.914145543745,0.912653061224,0.921202274574,0.916835699797,0.913500404204,0.913751017087,0.916835699797,0.919512195122,0.91649694501,0.915048543689,0.911382113821
29,6000,0.914100486224,0.915171288744,0.917176662587,0.913751017087,0.906633906634,0.910575745202,0.917675544794,0.918112141993,0.91551584078,0.914168377823,0.918019480519,0.915721231767,0.920032310178,0.911464708282,0.915447154472,0.914703493095,0.91797979798,0.917713822456,0.913327882257,0.916155419223,0.917238595075,0.918896999189,0.918656414407,0.914979757085,0.915789473684,0.925806451613,0.918192918193,0.917992656059,0.916,0.915956151035
30,6200,0.911525974026,0.916328188465,0.918566775244,0.90931372549,0.907224958949,0.908569085691,0.91770373344,0.911382113821,0.912510220769,0.915544675643,0.918831168831,0.911608961303,0.919204222493,0.917274939173,0.919400567031,0.912866449511,0.910277324633,0.916363636364,0.914425427873,0.912137310993,0.914678528104,0.918019480519,0.917238595075,0.918896999189,0.914659044508,0.918085969181,0.91325695581,0.916428862617,0.915594855305,0.917408906883
31,6400,0.909609120521,0.912581699346,0.918831168831,0.915048543689,0.910575745202,0.913025724786,0.918085969181,0.920161290323,0.917580186764,0.915682281059,0.91845841785,0.915956151035,0.922267206478,0.915281718687,0.917886178862,0.919381107492,0.918019480519,0.91845841785,0.91403081914,0.915475704369,0.912566083774,0.919028340081,0.917238595075,0.920210611584,0.913489134891,0.919224555735,0.915986949429,0.914703493095,0.915281718687,0.916463909165
32,6600,0.916228247673,0.916123778502,0.915006100041,0.916835699797,0.909238249595,0.91551584078,0.913821138211,0.914495114007,0.917752442997,0.916564916565,0.917073170732,0.920210611584,0.925985518906,0.917446116307,0.917073170732,0.917952883834,0.914659044508,0.914495114007,0.912123677787,0.91468416735,0.916463909165,0.919072793819,0.916599190283,0.916632777552,0.918699186992,0.921402660218,0.918566775244,0.915171288744,0.918046023415,0.911836734694
33,6800,0.914678528104,0.919446704638,0.920956627483,0.914122914123,0.912494912495,0.915682281059,0.917037636584,0.91983805668,0.91551584078,0.916228247673,0.917140536149,0.918152350081,0.917675544794,0.918019480519,0.915006100041,0.917207792208,0.917475728155,0.919400567031,0.915048543689,0.916360669115,0.917780477926,0.924444444444,0.916295996765,0.919159256265,0.920647773279,0.918284789644,0.916155419223,0.917408906883,0.914540299716,0.91845841785
34,7000,0.911812297735,0.914425427873,0.915447154472,0.914308811641,0.913590263692,0.91551584078,0.913590263692,0.919577579204,0.918722199757,0.913469387755,0.919577579204,0.921212121212,0.918940936864,0.917713822456,0.915144133171,0.917005695688,0.916363636364,0.917408906883,0.909759085341,0.908643998361,0.913480885312,0.925192074404,0.915584415584,0.920210611584,0.925700365408,0.92077607114,0.915584415584,0.919006919007,0.917475728155,0.916700528241
35,7200,0.915925626516,0.916092419943,0.917952883834,0.919708029197,0.908720456398,0.914772727273,0.915623738393,0.919919517103,0.916734033953,0.91933522497,0.918656414407,0.916192026037,0.917207792208,0.917446116307,0.91389114541,0.918233851186,0.91797979798,0.919577579204,0.919093851133,0.913418137054,0.916024340771,0.920468308438,0.9167681689,0.91403081914,0.922204213938,0.923510466989,0.919315403423,0.918742343814,0.917408906883,0.915986949429
36,7400,0.911597729116,0.917752442997,0.918896999189,0.916835699797,0.916363636364,0.916055419723,0.920532472771,0.923763179238,0.916328188465,0.917713822456,0.920468308438,0.916599190283,0.91913856156,0.917647058824,0.917274939173,0.920210611584,0.91845841785,0.918962722853,0.91797979798,0.91393442623,0.916160388821,0.923759580476,0.917446116307,0.916970433374,0.918416801292,0.915789473684,0.921640276086,0.920634920635,0.918896999189,0.915032679739
37,7600,0.913961038961,0.919072793819,0.911382113821,0.920660491341,0.918218623482,0.918259455063,0.918962722853,0.916734033953,0.918896999189,0.914936914937,0.919773095624,0.922640745241,0.923510466989,0.910939406263,0.916295996765,0.918218623482,0.916160388821,0.914447134786,0.915102040816,0.914215686275,0.911454102356,0.922764227642,0.915986949429,0.920724346076,0.926179911255,0.922455573506,0.920016240357,0.918300653595,0.919484702093,0.917041275031
38,7800,0.91389114541,0.90879211175,0.914867617108,0.922330097087,0.916431166734,0.915102040816,0.918853451756,0.92114840275,0.918699186992,0.920145926226,0.911525974026,0.922204213938,0.921893970053,0.908866995074,0.914728682171,0.918896999189,0.915584415584,0.918325883787,0.918787878788,0.915750915751,0.915623738393,0.922640745241,0.916129032258,0.916295996765,0.919381107492,0.91913856156,0.919006919007,0.918742343814,0.922828282828,0.915918367347
39,8000,0.918218623482,0.913539967374,0.91983805668,0.9223964616,0.919725695845,0.917647058824,0.921711057304,0.922578029996,0.922262922263,0.918590522479,0.920404040404,0.921521035599,0.918433931485,0.917752442997,0.917037636584,0.922083165119,0.914798206278,0.917886178862,0.919204222493,0.917446116307,0.913751017087,0.925985518906,0.92195713708,0.917513206014,0.923448831587,0.914589293012,0.920532472771,0.919204222493,0.917238595075,0.917886178862
40,8200,0.92071197411,0.91845841785,0.921893970053,0.923076923077,0.916092419943,0.920956627483,0.920903954802,0.922891566265,0.919512195122,0.920583468395,0.919660880097,0.918300653595,0.924137931034,0.914052953157,0.916734033953,0.922267206478,0.918590522479,0.918831168831,0.920032310178,0.914052953157,0.91845841785,0.925686591276,0.916428862617,0.923698021801,0.919419822724,0.92077607114,0.922389272653,0.922765871411,0.9223964616,0.92245229395
41,8400,0.916260162602,0.920519059205,0.916734033953,0.923698021801,0.913008130081,0.924818108327,0.915993537964,0.92295280355,0.916938110749,0.918787878788,0.923201293452,0.920325203252,0.92295214923,0.917713822456,0.91734197731,0.919820919821,0.918019480519,0.919028340081,0.918590522479,0.921711057304,0.912937347437,0.923572003218,0.921330089213,0.91797979798,0.921893970053,0.918218623482,0.920634920635,0.923512747875,0.926341072858,0.920260374288
42,8600,0.921900161031,0.919559003675,0.920583468395,0.921584478577,0.921711057304,0.917378917379,0.921837228042,0.926120306823,0.921275736778,0.920454545455,0.922518159806,0.915819438796,0.923450789793,0.917647058824,0.91551584078,0.922267206478,0.918524523713,0.921893970053,0.914192761285,0.923817161187,0.915613534448,0.922580645161,0.922703358964,0.919773095624,0.925010133766,0.913469387755,0.91785860237,0.920404040404,0.918962722853,0.918633034988
43,8800,0.92202020202,0.920389926889,0.921138211382,0.922580645161,0.922828282828,0.922455573506,0.916938110749,0.927302100162,0.922204213938,0.916360669115,0.921266233766,0.921640276086,0.924574209246,0.919204222493,0.915918367347,0.923014913341,0.91933522497,0.916734033953,0.9200968523,0.920903954802,0.919224555735,0.927360774818,0.922828282828,0.919967663703,0.921266233766,0.922326148841,0.920828258222,0.918392204629,0.918085969181,0.92400482509
44,9000,0.921767328739,0.922014622258,0.921584478577,0.921774193548,0.92270531401,0.918500407498,0.920903954802,0.923448831587,0.921393841167,0.920828258222,0.92295280355,0.92295214923,0.924199432509,0.916938110749,0.920956627483,0.925820835022,0.924322136787,0.919725695845,0.922204213938,0.921457489879,0.922764227642,0.923824959481,0.918896999189,0.917685411573,0.925131525698,0.922640745241,0.919159256265,0.92270531401,0.921824104235,0.923943661972
45,9200,0.917913465427,0.922077922078,0.918244059605,0.918656414407,0.924071082391,0.922640745241,0.917274939173,0.926809543065,0.923821039903,0.919117647059,0.92071197411,0.916973415133,0.922330097087,0.921521035599,0.919400567031,0.921703853955,0.922392886015,0.923325262308,0.918962722853,0.918192918193,0.922578029996,0.927360774818,0.920583468395,0.921521035599,0.923886639676,0.921457489879,0.917140536149,0.921655283246,0.924071082391,0.917952883834
46,9400,0.918085969181,0.920016240357,0.925866236906,0.924566357402,0.920145926226,0.918699186992,0.919951239334,0.924260834346,0.924137931034,0.925385239254,0.919886132574,0.918962722853,0.928109854604,0.914867617108,0.919773095624,0.923263327948,0.920956627483,0.921465968586,0.921521035599,0.923076923077,0.919886132574,0.924505450141,0.924437299035,0.922455573506,0.920454545455,0.921202274574,0.92301458671,0.923943661972,0.924193548387,0.916024340771
47,9600,0.923698021801,0.916123778502,0.925746569814,0.925792218211,0.919773095624,0.920016240357,0.92295280355,0.929032258065,0.924696356275,0.924809006836,0.921951219512,0.925506072874,0.926672038678,0.921893970053,0.913912688698,0.919269776876,0.921202274574,0.924696356275,0.92202020202,0.925312878482,0.921640276086,0.924193548387,0.924260834346,0.924512987013,0.924383340073,0.925566343042,0.918831168831,0.92425463336,0.924505450141,0.922392886015
48,9800,0.919951239334,0.921640276086,0.920339668419,0.925866236906,0.923821039903,0.925940914609,0.92202020202,0.929063640049,0.920145926226,0.926315789474,0.920389926889,0.924949290061,0.920828258222,0.922077922078,0.920032310178,0.924566357402,0.924757281553,0.919530934088,0.923882400322,0.919093851133,0.925506072874,0.922515212982,0.926298832058,0.926256077796,0.925,0.926315789474,0.925385239254,0.923633440514,0.923701298701,0.922204213938
49,10000,0.922703358964,0.926256077796,0.922515212982,0.924818108327,0.925566343042,0.922330097087,0.92301458671,0.927125506073,0.924199432509,0.925373134328,0.924137931034,0.918765231519,0.923701298701,0.918192918193,0.92295280355,0.92195713708,0.920892494929,0.924137931034,0.92289059346,0.919559003675,0.919624643003,0.926358148893,0.926120306823,0.926375404531,0.92289059346,0.924137931034,0.926060606061,0.920634920635,0.92413236481,0.923076923077
