id,user_token,user_name,action,app_version,class,ip_i,ip_f,port,proto,result,result_count
38,94tes32nwylow29,Sofia Bravi,Label Botnet, reorder add-on,normal,147.32.84.137,82.208.56.89,123,udp,incorrect,0
72,2nz484f8jk7yzaor,Ricardo,Label Normal, simple app,normal,147.32.84.164,74.125.232.192,80,tcp,correct,1
107,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.170,74.125.232.204,443,tcp,correct,1
107,a5nyavqdwnpfd2t9,Franco Betetto,Label Normal, full app,normal,147.32.84.170,74.125.232.204,443,tcp,correct,1
107,e94x4bggxpwuerk9,wikilen,Label Normal, full app,normal,147.32.84.170,74.125.232.204,443,tcp,correct,1
128,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.170,74.125.232.201,80,tcp,correct,1
230,94tes32nwylow29,Sofia Bravi,Label Normal, reorder add-on,normal,147.32.84.170,74.125.232.207,80,tcp,correct,1
245,e94x4bggxpwuerk9,wikilen,Label Botnet, full app,botnet,147.32.84.165,65.54.188.94,25,tcp,correct,1
285,cs6ja4cjh7xskyb9,Luis,Label Normal, prediction add-on,botnet,147.32.84.165,74.125.93.27,25,tcp,incorrect,0
308,2nz484f8jk7yzaor,Ricardo,Label Normal, simple app,normal,147.32.84.134,195.113.232.74,80,tcp,correct,1
340,xwfop0xaenqumcxr,Sebastian,Label Botnet, full app,botnet,147.32.84.165,64.12.90.65,25,tcp,correct,1
340,a5nyavqdwnpfd2t9,Franco Betetto,Label Botnet, full app,botnet,147.32.84.165,64.12.90.65,25,tcp,correct,1
340,susdtwau9cuqsemi,Pablo,Label Botnet, full app,botnet,147.32.84.165,64.12.90.65,25,tcp,correct,1
355,rwt2uja6gaurf6r,Andres Bonilla,Label Botnet, reorder add-on,botnet,147.32.84.165,66.196.94.104,25,tcp,correct,1
420,hor3c7v1uy096bt9,Martin,Label Normal, simple app,botnet,147.32.84.165,204.127.217.21,25,tcp,incorrect,0
421,uz3vzelcb3uwhfr,Bianca Sozzi,Label Botnet, simple app,botnet,147.32.84.165,207.115.21.20,25,tcp,correct,1
421,hor3c7v1uy096bt9,Martin,Label Botnet, simple app,botnet,147.32.84.165,207.115.21.20,25,tcp,correct,1
504,rwt2uja6gaurf6r,Andres Bonilla,Label Botnet, reorder add-on,botnet,147.32.84.165,216.17.3.48,25,tcp,correct,1
691,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,botnet,147.32.84.165,192.54.112.30,53,udp,incorrect,0
726,e94x4bggxpwuerk9,wikilen,Label Botnet, full app,botnet,147.32.84.165,178.63.49.46,25,tcp,correct,1
830,uz3vzelcb3uwhfr,Bianca Sozzi,Label Botnet, simple app,botnet,147.32.84.165,94.229.67.92,25,tcp,correct,1
882,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.170,209.85.149.104,80,tcp,correct,1
923,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.170,74.125.79.120,80,tcp,correct,1
956,94tes32nwylow29,Sofia Bravi,Label Botnet, reorder add-on,normal,147.32.84.134,91.198.174.233,80,tcp,incorrect,0
1081,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.134,74.125.232.202,80,tcp,correct,1
1202,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.134,69.63.190.10,443,tcp,correct,1
1212,2nz484f8jk7yzaor,Ricardo,Label Botnet, simple app,normal,147.32.84.170,209.133.56.102,80,tcp,incorrect,0
1212,94tes32nwylow29,Sofia Bravi,Label Botnet, reorder add-on,normal,147.32.84.170,209.133.56.102,80,tcp,incorrect,0
1261,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.170,80.239.149.32,80,tcp,correct,1
1279,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.170,208.253.45.68,443,tcp,correct,1
1279,a5nyavqdwnpfd2t9,Franco Betetto,Label Normal, full app,normal,147.32.84.170,208.253.45.68,443,tcp,correct,1
1324,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.170,81.95.101.9,80,tcp,correct,1
1355,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.170,74.125.232.204,443,tcp,correct,1
1355,a5nyavqdwnpfd2t9,Franco Betetto,Label Normal, full app,normal,147.32.84.170,74.125.232.204,443,tcp,correct,1
1366,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.170,195.113.232.97,80,tcp,correct,1
1380,rwt2uja6gaurf6r,Andres Bonilla,Label Botnet, reorder add-on,normal,147.32.84.170,74.125.232.223,80,tcp,incorrect,0
1391,rwt2uja6gaurf6r,Andres Bonilla,Label Normal, reorder add-on,botnet,147.32.84.165,217.163.21.37,80,tcp,incorrect,0
1433,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,botnet,147.32.84.165,68.67.179.209,80,tcp,incorrect,0
1477,cs6ja4cjh7xskyb9,Luis,Label Botnet, prediction add-on,botnet,147.32.84.165,65.55.37.104,25,tcp,correct,1
1505,a5nyavqdwnpfd2t9,Franco Betetto,Label Botnet, full app,botnet,147.32.84.165,205.178.149.7,25,tcp,correct,1
1505,xwfop0xaenqumcxr,Sebastian,Label Botnet, full app,botnet,147.32.84.165,205.178.149.7,25,tcp,correct,1
1514,a5nyavqdwnpfd2t9,Franco Betetto,Label Botnet, full app,botnet,147.32.84.165,65.55.92.184,25,tcp,correct,1
1514,xwfop0xaenqumcxr,Sebastian,Label Botnet, full app,botnet,147.32.84.165,65.55.92.184,25,tcp,correct,1
1514,susdtwau9cuqsemi,Pablo,Label Botnet, full app,botnet,147.32.84.165,65.55.92.184,25,tcp,correct,1
1514,e94x4bggxpwuerk9,wikilen,Label Botnet, full app,botnet,147.32.84.165,65.55.92.184,25,tcp,correct,1
1579,94tes32nwylow29,Sofia Bravi,Label Botnet, reorder add-on,botnet,147.32.84.165,64.12.90.33,25,tcp,correct,1
1591,e94x4bggxpwuerk9,wikilen,Label Botnet, full app,botnet,147.32.84.165,209.86.93.226,25,tcp,correct,1
1642,rwt2uja6gaurf6r,Andres Bonilla,Label Botnet, reorder add-on,botnet,147.32.84.165,216.33.127.20,25,tcp,correct,1
1673,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.170,195.113.232.89,80,tcp,correct,1
1792,uz3vzelcb3uwhfr,Bianca Sozzi,Label Botnet, simple app,normal,147.32.84.164,209.190.121.56,54728,icmp,incorrect,0
1815,94tes32nwylow29,Sofia Bravi,Label Botnet, reorder add-on,normal,147.32.84.170,74.125.232.202,80,tcp,incorrect,0
1828,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.164,74.125.232.194,80,tcp,correct,1
1900,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.164,194.79.52.98,80,tcp,correct,1
1900,e94x4bggxpwuerk9,wikilen,Label Normal, full app,normal,147.32.84.164,194.79.52.98,80,tcp,correct,1
1922,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.164,74.125.232.192,80,tcp,correct,1
1959,e94x4bggxpwuerk9,wikilen,Label Normal, full app,normal,147.32.84.134,194.79.52.199,80,tcp,correct,1
1959,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.134,194.79.52.199,80,tcp,correct,1
1993,cs6ja4cjh7xskyb9,Luis,Label Normal, prediction add-on,normal,147.32.84.170,69.58.183.143,80,tcp,correct,1
2008,susdtwau9cuqsemi,Pablo,Label Normal, full app,normal,147.32.84.170,194.79.54.61,80,tcp,correct,1
2065,gk3o8w8fp1iqkt9,Francisco,Label Botnet, prediction add-on,normal,147.32.87.36,147.32.80.9,53,udp,incorrect,0
2122,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.164,194.79.52.199,80,tcp,correct,1
2144,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.134,160.68.117.20,80,tcp,correct,1
2183,42rw019ynzh0k9,Facundo Chaud,Label Botnet, prediction add-on,botnet,147.32.84.165,64.4.56.103,80,tcp,correct,1
2269,2nz484f8jk7yzaor,Ricardo,Label Normal, simple app,normal,147.32.84.170,209.85.148.106,443,tcp,correct,1
2291,uz3vzelcb3uwhfr,Bianca Sozzi,Label Botnet, simple app,botnet,147.32.84.165,67.195.168.31,25,tcp,correct,1
2331,a5nyavqdwnpfd2t9,Franco Betetto,Label Botnet, full app,botnet,147.32.84.165,76.96.30.116,25,tcp,correct,1
2331,susdtwau9cuqsemi,Pablo,Label Botnet, full app,botnet,147.32.84.165,76.96.30.116,25,tcp,correct,1
2331,xwfop0xaenqumcxr,Sebastian,Label Botnet, full app,botnet,147.32.84.165,76.96.30.116,25,tcp,correct,1
2342,2nz484f8jk7yzaor,Ricardo,Label Normal, simple app,botnet,147.32.84.165,207.223.8.109,25,tcp,incorrect,0
2342,uz3vzelcb3uwhfr,Bianca Sozzi,Label Botnet, simple app,botnet,147.32.84.165,207.223.8.109,25,tcp,correct,1
2342,hor3c7v1uy096bt9,Martin,Label Botnet, simple app,botnet,147.32.84.165,207.223.8.109,25,tcp,correct,1
2366,xwfop0xaenqumcxr,Sebastian,Label Botnet, full app,botnet,147.32.84.165,209.86.93.226,25,tcp,correct,1
2366,susdtwau9cuqsemi,Pablo,Label Botnet, full app,botnet,147.32.84.165,209.86.93.226,25,tcp,correct,1
2366,a5nyavqdwnpfd2t9,Franco Betetto,Label Botnet, full app,botnet,147.32.84.165,209.86.93.226,25,tcp,correct,1
2370,a5nyavqdwnpfd2t9,Franco Betetto,Label Botnet, full app,botnet,147.32.84.165,64.18.5.11,25,tcp,correct,1
2370,xwfop0xaenqumcxr,Sebastian,Label Botnet, full app,botnet,147.32.84.165,64.18.5.11,25,tcp,correct,1
2375,uz3vzelcb3uwhfr,Bianca Sozzi,Label Botnet, simple app,botnet,147.32.84.165,98.139.175.225,25,tcp,correct,1
2375,hor3c7v1uy096bt9,Martin,Label Botnet, simple app,botnet,147.32.84.165,98.139.175.225,25,tcp,correct,1
2378,susdtwau9cuqsemi,Pablo,Label Botnet, full app,botnet,147.32.84.165,64.12.175.136,587,tcp,correct,1
2394,uz3vzelcb3uwhfr,Bianca Sozzi,Label Botnet, simple app,botnet,147.32.84.165,98.139.175.224,25,tcp,correct,1
2429,uz3vzelcb3uwhfr,Bianca Sozzi,Label Botnet, simple app,botnet,147.32.84.165,195.50.106.142,25,tcp,correct,1
2429,hor3c7v1uy096bt9,Martin,Label Botnet, simple app,botnet,147.32.84.165,195.50.106.142,25,tcp,correct,1
2486,rwt2uja6gaurf6r,Andres Bonilla,Label Botnet, reorder add-on,botnet,147.32.84.165,65.54.234.78,443,tcp,correct,1
2530,hor3c7v1uy096bt9,Martin,Label Normal, simple app,botnet,147.32.84.165,204.127.208.75,25,tcp,incorrect,0
2530,uz3vzelcb3uwhfr,Bianca Sozzi,Label Botnet, simple app,botnet,147.32.84.165,204.127.208.75,25,tcp,correct,1
2689,a5nyavqdwnpfd2t9,Franco Betetto,Label Botnet, full app,botnet,147.32.84.165,65.55.92.168,25,tcp,correct,1
2689,xwfop0xaenqumcxr,Sebastian,Label Botnet, full app,botnet,147.32.84.165,65.55.92.168,25,tcp,correct,1
2733,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,botnet,147.32.84.165,174.36.246.56,80,tcp,incorrect,0
2750,hor3c7v1uy096bt9,Martin,Label Normal, simple app,botnet,147.32.84.165,205.188.159.42,25,tcp,incorrect,0
2750,hor3c7v1uy096bt9,Martin,Label Botnet, simple app,botnet,147.32.84.165,205.188.159.42,25,tcp,correct,1
2750,uz3vzelcb3uwhfr,Bianca Sozzi,Label Botnet, simple app,botnet,147.32.84.165,205.188.159.42,25,tcp,correct,1
2750,2nz484f8jk7yzaor,Ricardo,Label Normal, simple app,botnet,147.32.84.165,205.188.159.42,25,tcp,incorrect,0
2812,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.164,74.125.232.199,80,tcp,correct,1
2817,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.164,209.85.148.132,443,tcp,correct,1
2823,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.164,209.85.148.103,80,tcp,correct,1
2875,94tes32nwylow29,Sofia Bravi,Label Botnet, reorder add-on,normal,147.32.84.164,74.125.232.197,80,tcp,incorrect,0
2933,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.134,80.239.149.17,443,tcp,correct,1
2998,94tes32nwylow29,Sofia Bravi,Label Normal, reorder add-on,normal,147.32.84.170,74.125.232.193,80,tcp,correct,1
3053,94tes32nwylow29,Sofia Bravi,Label Normal, reorder add-on,normal,147.32.84.164,81.0.214.198,80,tcp,correct,1
3151,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.170,74.125.232.204,80,tcp,correct,1
3163,2nz484f8jk7yzaor,Ricardo,Label Normal, simple app,normal,147.32.84.134,92.123.64.160,443,tcp,correct,1
3167,rwt2uja6gaurf6r,Andres Bonilla,Label Botnet, reorder add-on,normal,147.32.84.134,195.113.232.82,443,tcp,incorrect,0
3191,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.134,74.125.232.221,443,tcp,correct,1
3209,rwt2uja6gaurf6r,Andres Bonilla,Label Normal, reorder add-on,normal,147.32.84.170,91.198.174.233,80,tcp,correct,1
3243,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.134,77.75.72.72,80,tcp,correct,1
3327,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.134,184.73.171.195,80,tcp,correct,1
3328,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.134,92.123.64.169,443,tcp,correct,1
3328,a5nyavqdwnpfd2t9,Franco Betetto,Label Normal, full app,normal,147.32.84.134,92.123.64.169,443,tcp,correct,1
3328,e94x4bggxpwuerk9,wikilen,Label Normal, full app,normal,147.32.84.134,92.123.64.169,443,tcp,correct,1
3349,a5nyavqdwnpfd2t9,Franco Betetto,Label Normal, full app,normal,147.32.84.134,66.220.158.53,80,tcp,correct,1
3385,hor3c7v1uy096bt9,Martin,Label Botnet, simple app,botnet,147.32.84.165,24.71.223.11,25,tcp,correct,1
3385,uz3vzelcb3uwhfr,Bianca Sozzi,Label Botnet, simple app,botnet,147.32.84.165,24.71.223.11,25,tcp,correct,1
3408,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.134,69.63.190.10,443,tcp,correct,1
3481,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.170,209.85.148.99,80,tcp,correct,1
3493,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.134,74.125.232.223,443,tcp,correct,1
3493,e94x4bggxpwuerk9,wikilen,Label Normal, full app,normal,147.32.84.134,74.125.232.223,443,tcp,correct,1
3493,a5nyavqdwnpfd2t9,Franco Betetto,Label Normal, full app,normal,147.32.84.134,74.125.232.223,443,tcp,correct,1
3494,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.134,74.125.232.200,80,tcp,correct,1
3500,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.134,209.85.149.132,80,tcp,correct,1
3528,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.134,74.125.232.199,80,tcp,correct,1
3590,94tes32nwylow29,Sofia Bravi,Label Normal, reorder add-on,normal,147.32.84.134,194.79.52.192,80,tcp,correct,1
3617,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.134,209.85.148.103,80,tcp,correct,1
3673,xwfop0xaenqumcxr,Sebastian,Label Botnet, full app,botnet,147.32.84.165,65.55.92.136,25,tcp,correct,1
3737,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.164,91.198.174.234,80,tcp,correct,1
3737,a5nyavqdwnpfd2t9,Franco Betetto,Label Normal, full app,normal,147.32.84.164,91.198.174.234,80,tcp,correct,1
3752,94tes32nwylow29,Sofia Bravi,Label Botnet, reorder add-on,botnet,147.32.84.165,77.238.184.241,25,tcp,correct,1
3752,rwt2uja6gaurf6r,Andres Bonilla,Label Botnet, reorder add-on,botnet,147.32.84.165,77.238.184.241,25,tcp,correct,1
3757,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.134,80.239.149.11,443,tcp,correct,1
3758,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.134,92.123.64.192,443,tcp,correct,1
3787,xwfop0xaenqumcxr,Sebastian,Label Botnet, full app,botnet,147.32.84.165,208.65.144.2,25,tcp,correct,1
3787,a5nyavqdwnpfd2t9,Franco Betetto,Label Botnet, full app,botnet,147.32.84.165,208.65.144.2,25,tcp,correct,1
3787,susdtwau9cuqsemi,Pablo,Label Botnet, full app,botnet,147.32.84.165,208.65.144.2,25,tcp,correct,1
3787,xwfop0xaenqumcxr,Sebastian,Label Botnet, full app,botnet,147.32.84.165,208.65.144.2,25,tcp,correct,1
3819,cs6ja4cjh7xskyb9,Luis,Label Botnet, prediction add-on,botnet,147.32.84.165,216.33.127.20,25,tcp,correct,1
3819,gk3o8w8fp1iqkt9,Francisco,Label Normal, prediction add-on,botnet,147.32.84.165,216.33.127.20,25,tcp,incorrect,0
3828,gk3o8w8fp1iqkt9,Francisco,Label Normal, prediction add-on,botnet,147.32.84.165,64.191.223.39,25,tcp,incorrect,0
3844,2nz484f8jk7yzaor,Ricardo,Label Botnet, simple app,botnet,147.32.84.165,180.222.96.138,25,tcp,correct,1
3856,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.170,74.125.232.206,80,tcp,correct,1
3974,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.170,80.239.149.9,80,tcp,correct,1
3974,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.170,80.239.149.9,80,tcp,correct,1
3983,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.170,69.63.180.43,80,tcp,correct,1
4000,rwt2uja6gaurf6r,Andres Bonilla,Label Botnet, reorder add-on,normal,147.32.84.164,74.125.232.216,443,tcp,incorrect,0
4020,e94x4bggxpwuerk9,wikilen,Label Normal, full app,normal,147.32.84.170,209.85.148.104,443,tcp,correct,1
4108,2nz484f8jk7yzaor,Ricardo,Label Normal, simple app,normal,147.32.84.134,74.125.232.196,443,tcp,correct,1
4176,rwt2uja6gaurf6r,Andres Bonilla,Label Normal, reorder add-on,normal,147.32.84.170,74.125.232.204,80,tcp,correct,1
4188,hor3c7v1uy096bt9,Martin,Label Normal, simple app,normal,147.32.84.170,195.113.232.82,80,tcp,correct,1
4231,rwt2uja6gaurf6r,Andres Bonilla,Label Normal, reorder add-on,normal,147.32.84.134,195.168.10.171,80,tcp,correct,1
4237,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.134,80.239.149.33,443,tcp,correct,1
4250,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.134,74.125.232.212,80,tcp,correct,1
4264,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.170,74.125.232.201,80,tcp,correct,1
4264,a5nyavqdwnpfd2t9,Franco Betetto,Label Normal, full app,normal,147.32.84.170,74.125.232.201,80,tcp,correct,1
4264,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.170,74.125.232.201,80,tcp,correct,1
4296,hor3c7v1uy096bt9,Martin,Label Normal, simple app,normal,147.32.84.170,195.113.232.89,80,tcp,correct,1
4296,94tes32nwylow29,Sofia Bravi,Label Normal, reorder add-on,normal,147.32.84.170,195.113.232.89,80,tcp,correct,1
4302,2nz484f8jk7yzaor,Ricardo,Label Normal, simple app,normal,147.32.84.170,147.32.96.171,80,tcp,correct,1
4302,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.170,147.32.96.171,80,tcp,correct,1
4323,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,normal,147.32.84.170,2.20.182.17,80,tcp,correct,1
4340,42rw019ynzh0k9,Facundo Chaud,Label Normal, prediction add-on,normal,147.32.84.170,174.133.243.2,80,tcp,correct,1
4352,94tes32nwylow29,Sofia Bravi,Label Normal, reorder add-on,normal,147.32.84.170,66.220.153.19,80,tcp,correct,1
4360,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.170,77.75.77.152,80,tcp,correct,1
4362,94tes32nwylow29,Sofia Bravi,Label Normal, reorder add-on,normal,147.32.84.170,77.75.77.153,80,tcp,correct,1
4366,e94x4bggxpwuerk9,wikilen,Label Normal, full app,normal,147.32.84.170,77.75.72.22,80,tcp,correct,1
4366,xwfop0xaenqumcxr,Sebastian,Label Normal, full app,normal,147.32.84.170,77.75.72.22,80,tcp,correct,1
4387,94tes32nwylow29,Sofia Bravi,Label Botnet, reorder add-on,botnet,147.32.84.165,74.125.93.27,25,tcp,correct,1
4394,2nz484f8jk7yzaor,Ricardo,Label Normal, simple app,botnet,147.32.84.165,216.157.130.15,25,tcp,incorrect,0
4394,hor3c7v1uy096bt9,Martin,Label Botnet, simple app,botnet,147.32.84.165,216.157.130.15,25,tcp,correct,1
4433,walg3rp0jrk3ayvi,Gabriel Peralta,Label Botnet, reorder add-on,botnet,147.32.84.165,98.137.54.237,25,tcp,correct,1
4434,hor3c7v1uy096bt9,Martin,Label Botnet, simple app,botnet,147.32.84.165,74.6.140.64,25,tcp,correct,1
4472,susdtwau9cuqsemi,Pablo,Label Botnet, full app,botnet,147.32.84.165,195.190.13.78,80,tcp,correct,1
4494,rwt2uja6gaurf6r,Andres Bonilla,Label Botnet, reorder add-on,botnet,147.32.84.165,66.94.237.139,25,tcp,correct,1
4496,rwt2uja6gaurf6r,Andres Bonilla,Label Botnet, reorder add-on,botnet,147.32.84.165,212.27.48.7,25,tcp,correct,1
4503,e94x4bggxpwuerk9,wikilen,Label Botnet, full app,botnet,147.32.84.165,66.111.4.71,25,tcp,correct,1
4520,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,botnet,147.32.84.165,64.4.52.169,80,tcp,incorrect,0
4523,42rw019ynzh0k9,Facundo Chaud,Label Botnet, prediction add-on,botnet,147.32.84.165,68.67.185.207,80,tcp,correct,1
4588,rwt2uja6gaurf6r,Andres Bonilla,Label Botnet, reorder add-on,botnet,147.32.84.165,207.126.147.10,25,tcp,correct,1
4666,cs6ja4cjh7xskyb9,Luis,Label Normal, prediction add-on,botnet,147.32.84.191,217.163.21.39,80,tcp,incorrect,0
4690,gk3o8w8fp1iqkt9,Francisco,Label Botnet, prediction add-on,botnet,147.32.84.165,64.18.7.10,25,tcp,correct,1
4725,2nz484f8jk7yzaor,Ricardo,Label Normal, simple app,botnet,147.32.84.192,173.192.170.88,80,tcp,incorrect,0
4725,uz3vzelcb3uwhfr,Bianca Sozzi,Label Normal, simple app,botnet,147.32.84.192,173.192.170.88,80,tcp,incorrect,0
